player_id,t,x,y,state,event
P01,1,29.9,30.04,Moving,none
P01,2,29.83,30.17,Holding,none
P01,3,29.72,30.12,Holding,none
P01,4,29.49,29.96,Holding,none
P01,5,30.72,30.24,Loitering,none
P01,6,32.82,30.63,Loitering,none
P01,7,35.5,31.26,Moving,none
P01,8,38.63,31.85,Moving,none
P01,9,42.07,32.43,Moving,none
P01,10,45.66,33.27,Moving,none
P01,11,49.44,33.81,Moving,none
P01,12,52.63,33.91,Moving,none
P01,13,54.86,33.91,Moving,none
P01,14,55.81,33.66,Moving,none
P01,15,55.68,33.35,Loitering,none
P01,16,54.83,33.01,Loitering,none
P01,17,53.66,32.71,Loitering,death
P01,18,52.84,32.5,Loitering,none
P01,19,52.25,32.44,Loitering,none
P01,20,51.84,32.38,Loitering,none
P01,21,51.55,32.31,Loitering,none
P01,22,51.4,32.14,Holding,none
P01,23,51.26,32.25,Holding,none
P01,24,51.14,32.18,Holding,none
P01,25,50.99,32.22,Holding,none
P01,26,50.97,32.22,Holding,none
P01,27,50.92,32.06,Holding,none
P01,28,50.95,32.21,Holding,none
P01,29,51.06,32.14,Holding,none
P01,30,50.98,31.93,Holding,none
P01,31,51.11,31.86,Holding,none
P01,32,51.22,31.75,Holding,none
P01,33,51.19,31.83,Holding,none
P01,34,51.31,31.82,Holding,none
P01,35,51.34,31.74,Holding,none
P01,36,51.33,31.89,Holding,none
P01,37,51.13,32.03,Holding,none
P01,38,51.04,32.07,Holding,none
P01,39,51.09,32.15,Holding,none
P01,40,51.21,32.15,Holding,none
P01,41,51.31,32.33,Holding,none
P01,42,51.24,32.31,Holding,none
P01,43,51.2,32.17,Holding,none
P01,44,51.17,32.36,Holding,none
P01,45,51.2,32.45,Holding,none
P01,46,51.27,32.57,Holding,none
P01,47,51.24,32.55,Holding,none
P01,48,51.37,32.64,Holding,none
P01,49,51.22,32.47,Holding,none
P01,50,51.21,32.4,Holding,none
P01,51,51.3,32.52,Holding,none
P01,52,51.06,32.73,Holding,none
P01,53,50.9,32.83,Holding,none
P01,54,50.92,33.06,Holding,none
P01,55,50.98,33.07,Holding,none
P01,56,50.92,33.15,Holding,none
P01,57,50.92,32.92,Holding,none
P01,58,50.97,32.95,Holding,none
P01,59,50.96,33.13,Holding,none
P01,60,50.96,33.16,Holding,none
P01,61,51.03,33.27,Holding,none
P01,62,50.99,33.36,Holding,none
P01,63,50.93,33.36,Holding,none
P01,64,50.79,33.16,Holding,none
P01,65,50.78,33.1,Holding,none
P01,66,50.92,32.97,Holding,none
P01,67,51.15,33.05,Holding,none
P01,68,51.08,33.08,Holding,none
P01,69,50.99,33.12,Holding,none
P01,70,51.02,33.2,Holding,none
P01,71,51.11,33.25,Holding,none
P01,72,51.08,33.17,Holding,none
P01,73,51.18,33.17,Holding,none
P01,74,51.28,33.14,Holding,none
P01,75,51.26,33.08,Holding,none
P01,76,51.11,33.2,Holding,none
P01,77,51.15,33.18,Holding,none
P01,78,51.23,33.29,Holding,none
P01,79,51.4,33.24,Holding,none
P01,80,51.22,33.14,Holding,none
P01,81,51.09,33.1,Holding,none
P01,82,51.09,33.18,Holding,none
P01,83,51.15,33.1,Holding,none
P01,84,51.18,33.16,Holding,none
P01,85,51.01,33.31,Holding,none
P01,86,51.05,33.41,Holding,none
P01,87,50.97,33.55,Holding,none
P01,88,50.83,33.58,Holding,none
P01,89,50.77,33.57,Holding,none
P01,90,50.94,33.47,Holding,none
P01,91,51.07,33.43,Holding,none
P01,92,51.29,33.35,Holding,none
P01,93,51.37,33.42,Holding,none
P01,94,51.34,33.39,Holding,none
P01,95,51.23,33.38,Holding,none
P01,96,51.35,33.44,Holding,none
P01,97,51.37,33.36,Holding,none
P01,98,51.32,33.34,Holding,none
P01,99,51.36,33.5,Holding,none
P01,100,51.42,33.45,Holding,none
P01,101,51.48,33.55,Holding,none
P01,102,51.37,33.48,Holding,none
P01,103,51.25,33.4,Holding,none
P01,104,51.21,33.42,Holding,none
P01,105,51.31,33.36,Holding,none
P01,106,51.41,33.44,Holding,none
P01,107,51.38,33.6,Holding,none
P01,108,51.36,33.59,Holding,none
P01,109,51.38,33.68,Holding,none
P01,110,51.3,33.55,Holding,none
P01,111,51.29,33.5,Holding,none
P01,112,51.23,33.42,Holding,none
P01,113,51.08,33.52,Holding,none
P01,114,51.04,33.57,Holding,none
P01,115,51.18,33.59,Holding,none
P01,116,51.16,33.6,Holding,none
P01,117,51.3,33.64,Holding,none
P01,118,51.17,33.71,Holding,none
P01,119,51.11,33.72,Holding,none
P01,120,51.09,33.82,Holding,none
P01,121,51.05,33.89,Holding,none
P01,122,51.03,34.04,Holding,none
P01,123,50.96,34.14,Holding,none
P01,124,51.05,34.09,Holding,none
P01,125,51.17,34.17,Holding,none
P01,126,51.25,34.12,Holding,none
P01,127,51.19,34.23,Holding,none
P01,128,51.15,34.22,Holding,none
P01,129,51.36,34.32,Holding,none
P01,130,51.28,34.49,Holding,none
P01,131,51.23,34.47,Holding,none
P01,132,51.05,34.29,Holding,none
P01,133,51,34.29,Holding,none
P01,134,51.02,34.12,Holding,none
P01,135,51,33.99,Holding,none
P01,136,50.97,33.93,Holding,none
P01,137,50.91,33.98,Holding,none
P01,138,50.77,34,Holding,none
P01,139,50.92,33.83,Holding,none
P01,140,50.94,33.86,Holding,none
P01,141,50.96,33.85,Holding,none
P01,142,50.92,33.69,Holding,none
P01,143,50.96,33.59,Holding,none
P01,144,50.92,33.42,Holding,none
P01,145,50.91,33.45,Holding,none
P01,146,50.88,33.41,Holding,none
P01,147,50.89,33.37,Holding,none
P01,148,51.08,33.44,Holding,none
P01,149,51.06,33.33,Holding,none
P01,150,51.01,33.45,Holding,none
P01,151,51.06,33.26,Holding,none
P01,152,51.01,33.2,Holding,none
P01,153,51.03,33.26,Holding,none
P01,154,51.06,33.29,Holding,none
P01,155,51.21,33.31,Holding,none
P01,156,51.15,33.03,Holding,none
P01,157,51.23,33.19,Holding,none
P01,158,51.28,33.11,Holding,none
P01,159,51.21,33.05,Holding,none
P01,160,51.14,33.01,Holding,none
P01,161,51.07,32.92,Holding,none
P01,162,51.11,33,Holding,none
P01,163,51.14,33.09,Holding,none
P01,164,51.25,33.12,Holding,none
P01,165,51.26,33.07,Holding,none
P01,166,51.34,33.03,Holding,none
P01,167,51.41,32.97,Holding,none
P01,168,51.27,32.99,Holding,none
P01,169,51.29,33.02,Holding,none
P01,170,51.25,33.24,Holding,none
P01,171,51.39,33.3,Holding,none
P01,172,51.36,33.27,Holding,none
P01,173,51.54,33.23,Holding,none
P01,174,51.47,33.17,Holding,none
P01,175,51.42,33.04,Holding,death
P01,176,51.59,33.02,Holding,none
P01,177,51.62,32.98,Holding,none
P01,178,51.69,33.09,Holding,none
P01,179,51.65,33.02,Holding,none
P01,180,51.67,33.06,Holding,none
P02,1,52.04,32.81,Moving,none
P02,2,51.99,33.03,Holding,none
P02,3,52.11,33.15,Holding,none
P02,4,52.25,33.18,Holding,none
P02,5,52.35,33.16,Holding,none
P02,6,52.34,33.21,Holding,none
P02,7,52.4,33.2,Holding,none
P02,8,52.6,33.11,Holding,none
P02,9,52.51,33.12,Holding,none
P02,10,52.44,33.08,Holding,none
P02,11,52.22,33.24,Holding,none
P02,12,52.25,33.25,Holding,none
P02,13,52.37,33.21,Holding,none
P02,14,52.34,33.28,Holding,none
P02,15,52.32,33.4,Holding,none
P02,16,52.34,33.35,Holding,none
P02,17,52.25,33.26,Holding,none
P02,18,52.37,33.34,Holding,none
P02,19,52.48,33.38,Holding,none
P02,20,52.36,33.39,Holding,none
P02,21,52.36,33.48,Holding,none
P02,22,52.33,33.36,Holding,none
P02,23,52.32,33.16,Holding,none
P02,24,52.4,33.29,Holding,none
P02,25,52.31,33.37,Holding,none
P02,26,52.3,33.34,Holding,none
P02,27,52.36,33.37,Holding,none
P02,28,52.44,33.12,Holding,none
P02,29,52.36,33.24,Holding,none
P02,30,52.42,33.38,Holding,none
P02,31,52.3,33.44,Holding,none
P02,32,52.24,33.33,Holding,none
P02,33,52.35,33.25,Holding,none
P02,34,52.55,33.33,Holding,none
P02,35,52.43,33.4,Holding,none
P02,36,52.4,33.47,Holding,none
P02,37,52.63,33.48,Holding,none
P02,38,52.61,33.39,Holding,none
P02,39,52.69,33.32,Holding,none
P02,40,52.54,33.32,Holding,none
P02,41,52.64,33.36,Holding,none
P02,42,52.67,33.36,Holding,none
P02,43,52.63,33.2,Holding,none
P02,44,52.77,33.42,Holding,none
P02,45,52.69,33.45,Holding,none
P02,46,52.62,33.45,Holding,none
P02,47,52.53,33.38,Holding,none
P02,48,52.52,33.54,Holding,none
P02,49,52.31,33.64,Holding,none
P02,50,52.29,33.76,Holding,none
P02,51,52.3,33.71,Holding,none
P02,52,52.5,33.81,Holding,none
P02,53,52.51,33.7,Holding,none
P02,54,52.44,33.9,Holding,none
P02,55,52.43,33.85,Holding,none
P02,56,52.28,33.84,Holding,none
P02,57,52.21,33.89,Holding,none
P02,58,52.39,33.7,Holding,none
P02,59,52.36,33.58,Holding,none
P02,60,52.5,33.73,Holding,none
P02,61,52.55,33.72,Holding,none
P02,62,52.64,33.72,Holding,none
P02,63,52.68,33.68,Holding,none
P02,64,52.71,33.73,Holding,none
P02,65,52.69,33.69,Holding,none
P02,66,52.75,33.84,Holding,none
P02,67,52.64,33.65,Holding,none
P02,68,52.64,33.6,Holding,none
P02,69,52.7,33.57,Holding,none
P02,70,52.75,33.59,Holding,none
P02,71,52.81,33.67,Holding,none
P02,72,52.39,33,Holding,none
P02,73,51.78,31.97,Loitering,none
P02,74,50.9,31.03,Loitering,none
P02,75,50.31,30.35,Loitering,none
P02,76,49.9,29.88,Loitering,none
P02,77,49.61,29.54,Loitering,none
P02,78,49.43,29.29,Loitering,none
P02,79,49.18,29.07,Holding,none
P02,80,49.09,28.9,Holding,none
P02,81,49.1,28.89,Holding,none
P02,82,49,28.97,Holding,none
P02,83,48.85,29.02,Holding,none
P02,84,48.69,29.07,Holding,none
P02,85,48.61,29.07,Holding,none
P02,86,48.54,28.9,Holding,none
P02,87,48.77,29.09,Holding,none
P02,88,49.02,29.12,Holding,none
P02,89,49.22,29.26,Holding,none
